Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,eigencentrality,clustering,triangles
178994,178994,,453,1700597,2,0.858954,0.917897,26.269763,0.043975,0.043975,3,0,0.912266,0.937037,95932
74173,74173,,5,5,1,1,1,0,0,0,16,8,0.000114,1,10
74356,74356,,485,2901424,2,0.904841,0.947417,28.536698,0.046953,0.046953,3,0,0.974129,0.929914,109144
204533,204533,,485,4393515,3,0.903333,0.947109,62.779888,0.04629,0.04629,3,0,0.96058,0.90547,106275
204534,204534,,500,5660875,2,0.928082,0.961255,65.254401,0.047573,0.047573,3,0,0.987222,0.898814,112127
157130,157130,,485,3766573,3,0.903333,0.947109,61.677402,0.046329,0.046329,3,0,0.961388,0.907191,106477
204535,204535,,423,2070904,2,0.81997,0.890221,32.543612,0.040579,0.040579,3,0,0.842187,0.925481,82602
207309,207309,,481,3598981,2,0.898839,0.943727,34.256632,0.046372,0.046372,22,0,0.962085,0.923138,106567
74317,74317,,473,3228950,2,0.88707,0.936347,33.790365,0.04563,0.04563,3,0,0.946682,0.924132,103159
148134,148134,,19,112,3,0.500462,0.511993,1.077184,0.000811,0.000811,18,0,0.017095,0.923977,158
74197,74197,,5,5,1,1,1,0,0,0,16,8,0.000114,1,10
204537,204537,,497,6440398,3,0.921769,0.95818,67.791406,0.047362,0.047362,21,0,0.982815,0.901709,111141
74200,74200,,375,1750,2,0.764457,0.845941,16.971606,0.036365,0.036365,22,0,0.754438,0.941462,66020
74319,74319,,11,11,3,0.490054,0.5,0,0.000147,0.000147,14,0,0.00329,1,55
178961,178961,,484,3908285,2,0.903333,0.946494,24.038447,0.046978,0.046978,22,0,0.974584,0.934808,109266
72442,72442,,431,2460,2,0.830015,0.897601,58.03291,0.040984,0.040984,3,0,0.850523,0.897836,83198
178939,178939,,355,1205755,2,0.743484,0.827491,13.465198,0.034594,0.034594,3,0,0.71774,0.948357,59590
74212,74212,,345,3541,3,0.729475,0.817036,1.538334,0.034105,0.034105,22,0,0.707278,0.991877,58858
74216,74216,,16,47,3,0.499079,0.509225,0,0.000612,0.000612,18,0,0.012958,1,120
160508,160508,,365,1763725,3,0.752778,0.836408,24.91606,0.035018,0.035018,3,0,0.726803,0.93798,62310
204397,204397,,497,5363828,2,0.923339,0.958487,53.452406,0.047663,0.047663,21,0,0.988949,0.912402,112459
204371,204371,,508,5132366,2,0.940972,0.968635,73.59008,0.048138,0.048138,21,0,0.998972,0.891239,114772
160510,160510,,440,1421792,2,0.841615,0.905904,14.939073,0.04302,0.04302,3,0,0.892423,0.95001,91752
160511,160511,,417,2292547,3,0.811377,0.884379,89.05658,0.040066,0.040066,3,0,0.831468,0.927458,80444
204544,204544,,477,4953866,2,0.892916,0.940037,32.814605,0.046049,0.046049,21,0,0.955364,0.926026,105128
166402,166402,,488,2713196,2,0.909396,0.950185,34.789831,0.047018,0.047018,3,0,0.975543,0.921147,109458
164359,164359,,468,2367272,2,0.87987,0.931734,29.459802,0.045329,0.045329,22,0,0.940413,0.931432,101785
164360,164360,,492,6403347,2,0.915541,0.953875,28.38534,0.047545,0.047545,21,0,0.986397,0.926308,111885
74254,74254,,5,5,1,1,1,0,0,0,16,8,0.000114,1,10
178947,178947,,491,3122439,2,0.913997,0.952952,37.414089,0.04721,0.04721,3,0,0.979541,0.91727,110343
74528,74528,,0,0,0,0,0,0,0,0,17,16,0,0,0
74262,74262,,486,2462350,2,0.906355,0.948339,36.211165,0.046749,0.046749,3,0,0.969978,0.918391,108237
178963,178963,,19,102,3,0.500462,0.511993,1.077184,0.000811,0.000811,18,0,0.017095,0.923977,158
204400,204400,,442,2688465,2,0.844237,0.907749,11.514427,0.043402,0.043402,22,0,0.900233,0.962867,93842
74010,74010,,24,140,3,0.505126,0.518143,23.934226,0.000914,0.000914,18,0,0.019323,0.67029,185
92699,92699,,412,236946,2,0.806548,0.880074,21.784768,0.039889,0.039889,22,0,0.827544,0.937059,79337
162332,162332,,465,3929633,2,0.875606,0.928967,783.418174,0.044384,0.044384,21,0,0.920912,0.908111,97967
74270,74270,,492,5901506,2,0.915541,0.953875,36.980511,0.047363,0.047363,21,0,0.982685,0.919502,111063
74273,74273,,480,4335961,3,0.895868,0.942497,33.434498,0.046299,0.046299,21,0,0.960628,0.924078,106232
204439,204439,,501,5279495,2,0.929674,0.962177,45.713919,0.04792,0.04792,3,0,0.994322,0.907593,113676
204550,204550,,500,6218144,2,0.928082,0.961255,43.627689,0.047879,0.047879,21,0,0.993453,0.909691,113484
74278,74278,,0,0,0,0,0,0,0,0,19,17,0,0,0
204551,204551,,487,5112299,2,0.907873,0.949262,25.644451,0.047194,0.047194,22,0,0.979069,0.931689,110257
160535,160535,,417,1877556,2,0.812594,0.884686,48.38653,0.039473,0.039473,3,0,0.819305,0.896767,77782
178975,178975,,475,1633261,2,0.889984,0.938192,21.060774,0.046214,0.046214,3,0,0.958699,0.939525,105767
204552,204552,,495,6440666,2,0.920204,0.956642,42.418706,0.047512,0.047512,21,0,0.985816,0.913998,111750
198197,198197,,501,4550284,2,0.929674,0.962177,44.612353,0.047938,0.047938,3,0,0.994686,0.90824,113757
178964,178964,,499,4949296,3,0.924915,0.960025,1411.180406,0.046923,0.046923,3,0,0.973879,0.878593,109166
98057,98057,,493,5525690,2,0.91709,0.954797,29.61007,0.047596,0.047596,22,0,0.987462,0.924504,112122
196358,196358,,484,4337743,2,0.903333,0.946494,36.435265,0.046581,0.046581,22,0,0.966442,0.919836,107516
74299,74299,,473,3979588,3,0.885621,0.936039,32.173894,0.045668,0.045668,3,0,0.94751,0.925467,103308
141495,141495,,0,0,0,0,0,0,0,0,20,18,0,0,0
178954,178954,,488,3704203,2,0.909396,0.950185,26.142967,0.047258,0.047258,3,0,0.980418,0.930303,110546
204351,204351,,436,3517726,2,0.83642,0.902214,9.343289,0.042915,0.042915,21,0,0.8901,0.968554,91848
204352,204352,,415,2229181,3,0.808955,0.882534,31.455457,0.039988,0.039988,3,0,0.829831,0.932972,80147
204353,204353,,470,4428119,3,0.881301,0.933272,18.636726,0.045823,0.045823,21,0,0.950603,0.943882,104030
204354,204354,,488,5362589,2,0.909396,0.950185,26.511733,0.047253,0.047253,21,0,0.980301,0.930168,110530
204355,204355,,499,5774192,2,0.926496,0.960332,55.50486,0.047781,0.047781,21,0,0.991422,0.90957,113015
204356,204356,,498,6143693,2,0.924915,0.95941,40.798332,0.04775,0.04775,21,0,0.990762,0.912051,112869
204357,204357,,490,5819199,2,0.912458,0.95203,27.479152,0.047392,0.047392,21,0,0.983218,0.927958,111174
204358,204358,,493,5827602,2,0.91709,0.954797,29.61007,0.047596,0.047596,22,0,0.987462,0.924504,112122
204385,204385,,501,3994511,2,0.929674,0.962177,50.378137,0.047799,0.047799,21,0,0.991856,0.903257,113133
204360,204360,,492,6115864,3,0.913997,0.953567,55.401496,0.047032,0.047032,3,0,0.975932,0.907531,109617
204556,204556,,488,6140857,2,0.909396,0.950185,27.474019,0.047235,0.047235,21,0,0.979938,0.929436,110443
204362,204362,,416,3309619,2,0.811377,0.883764,6.790334,0.041009,0.041009,21,0,0.850521,0.974548,84123
